"Fecha","Fallecidos"
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,3
2020-03-30,6
2020-03-31,7
2020-04-01,8
2020-04-02,9
2020-04-03,10
2020-04-04,10
2020-04-05,11
2020-04-06,14
2020-04-07,15
2020-04-08,18
2020-04-09,19
2020-04-10,20
2020-04-11,24
2020-04-12,27
2020-04-13,28
2020-04-14,28
2020-04-15,29
2020-04-16,31
2020-04-17,31
2020-04-18,32
2020-04-19,33
2020-04-20,34
2020-04-21,37
2020-04-22,40
2020-04-23,43
2020-04-24,44
2020-04-25,46
2020-04-26,50
2020-04-27,53
2020-04-28,55
2020-04-29,59
2020-04-30,62
2020-05-01,66
2020-05-02,71
2020-05-03,76
2020-05-04,82
2020-05-05,86
2020-05-06,91
2020-05-07,102
2020-05-08,106
2020-05-09,114
2020-05-10,118
2020-05-11,122
2020-05-12,128
2020-05-13,142
2020-05-14,152
2020-05-15,164
2020-05-16,165
2020-05-17,169
2020-05-18,174
2020-05-19,189
2020-05-20,199
2020-05-21,215
2020-05-22,230
2020-05-23,240
2020-05-24,250
2020-05-25,261
2020-05-26,274
2020-05-27,280
2020-05-28,293
2020-05-29,300
2020-05-30,310
2020-05-31,313
2020-06-01,343
2020-06-02,376
2020-06-03,400
2020-06-04,415
2020-06-05,427
2020-06-06,454
2020-06-07,465
2020-06-08,475
2020-06-09,487
2020-06-10,512
2020-06-11,533
2020-06-12,559
2020-06-13,585
2020-06-14,611
2020-06-15,632
2020-06-16,659
2020-06-17,679
2020-06-18,697
2020-06-19,715
2020-06-20,740
2020-06-21,773
2020-06-22,820
2020-06-23,846
2020-06-24,876
2020-06-25,913
2020-06-26,934
2020-06-27,970
2020-06-28,1014
2020-06-29,1071
2020-06-30,1123
2020-07-01,1201
2020-07-02,1271
2020-07-03,1320
2020-07-04,1378
2020-07-05,1434
2020-07-06,1476
2020-07-07,1530
2020-07-08,1577
2020-07-09,1638
2020-07-10,1702
2020-07-11,1754
2020-07-12,1807
2020-07-13,1866
2020-07-14,1898
2020-07-15,1942
2020-07-16,1984
2020-07-17,2049
2020-07-18,2106
2020-07-19,2151
2020-07-20,2218
2020-07-21,2273
2020-07-22,2328
2020-07-23,2407
2020-07-24,2473
2020-07-25,2535
2020-07-26,2583
2020-07-27,2647
2020-07-28,2720
2020-07-29,2808
2020-07-30,2894
2020-07-31,2977
2020-08-01,3064
2020-08-02,3153
2020-08-03,3228
2020-08-04,3320
2020-08-05,3385
2020-08-06,3465
2020-08-07,3524
2020-08-08,3587
2020-08-09,3640
2020-08-10,3712
2020-08-11,3761
2020-08-12,3827
2020-08-13,3884
2020-08-14,3939
2020-08-15,4003
2020-08-16,4058
2020-08-17,4123
2020-08-18,4172
2020-08-19,4233
2020-08-20,4305
2020-08-21,4366
2020-08-22,4442
2020-08-23,4509
2020-08-24,4578
2020-08-25,4664
2020-08-26,4726
2020-08-27,4791
2020-08-28,4846
2020-08-29,4938
2020-08-30,4966
2020-08-31,5027
2020-09-01,5101
2020-09-02,5203
2020-09-03,5288
2020-09-04,5343
2020-09-05,5398
2020-09-06,5398
2020-09-07,7054
2020-09-08,7097
2020-09-09,7146
2020-09-10,7193
2020-09-11,7250
2020-09-12,7297
2020-09-13,7344
2020-09-14,7394
2020-09-15,7447
2020-09-16,7478
2020-09-17,7511
2020-09-18,7550
2020-09-19,7586
2020-09-20,7617
2020-09-21,7654
2020-09-22,7693
2020-09-23,7731
2020-09-24,7765
2020-09-25,7800
2020-09-26,7828
2020-09-27,7858
2020-09-28,7900
2020-09-29,7931
2020-09-30,7965
2020-10-01,8001
2020-10-02,8045
2020-10-03,8073
2020-10-04,8101
2020-10-05,8129
2020-10-06,8156
2020-10-07,8192
2020-10-08,8228
2020-10-09,8262
2020-10-10,8292
2020-10-11,8308
2020-10-12,8326
2020-10-13,8351
2020-10-14,8377
2020-10-15,8407
2020-10-16,8439
2020-10-17,8463
2020-10-18,8481
2020-10-19,8502
2020-10-20,8526
2020-10-21,8558
2020-10-22,8584
2020-10-23,8608
2020-10-24,8627
2020-10-25,8645
2020-10-26,8658
2020-10-27,8672
2020-10-28,8694
2020-10-29,8705
2020-10-30,8715
2020-10-31,8725
2020-11-01,8731
2020-11-02,8741
2020-11-03,8751
2020-11-04,8758
2020-11-05,8768
2020-11-06,8781
2020-11-07,8790
2020-11-08,8795
2020-11-09,8802
2020-11-10,8808
2020-11-11,8818
2020-11-12,8825
2020-11-13,8835
2020-11-14,8841
2020-11-15,8849
2020-11-16,8859
2020-11-17,8866
2020-11-18,8875
2020-11-19,8889
2020-11-20,8900
2020-11-21,8904
2020-11-22,8907
2020-11-23,8916
2020-11-24,8928
2020-11-25,8933
2020-11-26,8939
2020-11-27,8943
2020-11-28,8949
2020-11-29,8952
2020-11-30,8957
2020-12-01,8963
2020-12-02,8972
2020-12-03,8982
2020-12-04,8987
2020-12-05,8992
2020-12-06,8995
2020-12-07,8997
2020-12-08,9002
2020-12-09,9004
2020-12-10,9008
2020-12-11,9013
2020-12-12,9014
2020-12-13,9018
2020-12-14,9024
2020-12-15,9026
2020-12-16,9029
2020-12-17,9031
2020-12-18,9033
2020-12-19,9035
